source,ref-type,author,year,language,label,title,abstract,inclusion/exclusion,Reason/s for exclusion,Comments,electronic-resource-num
random-journal.pdf,LivM1,"Janoray, G",2015,fre,LIV.M:#5,[Follow-up after stereotactic body radiation therapy for liver tumours: A review of the literature and recommendations].,"Stereotactic body radiation therapy is a modern approach for delivering ablative high doses of irradiation in small volumes. This technique is being developed for the treatment of liver tumors, such as hepatocellular carcinoma, cholangiocarcinoma, or liver metastases. It represents a real alternative to surgical resection or liver transplantation when patients are inoperable or when tumours are unresectable. It is mandatory to standardize and simplify the current methods of evaluation and monitoring in order to benefit from a better understanding of the effectiveness and of the tolerance of this new treatment modality. Several scientific societies have recently proposed recommendations for the implementation of stereotactic radiotherapy for liver tumors. We conducted a literature review to provide recommendations for follow-up after completion of a stereotactic body radiation therapy for liver tumours.",exclusion,Written in French,,10.1016/j.canrad.2015.05.020 
random-journal.pdf,LivM2,"Czauderna, Carolin",2020,ger,LIV.M:#3;LIV.P:#5,[Monocentric experiences of stereotactic body radiation therapy (SBRT) for advanced hepatocellular carcinomas (BCLC-C)].,"Hepatocellular carcinomas (HCCs) are highly malignant primary liver cancers with poor prognosis and limited treatment options in advanced stages of disease. Treatment of HCC requires interdisciplinary discussion and multimodal therapy approaches. Beside established loco-regional and systemic therapies, stereotactic body radiation therapy (SBRT) gained increasing importance over recent years. First results of early clinical studies indicate high rates of local control with a good safety profile. In the present work, we evaluated our single center experiences with SBRT in patients with advanced HCCs.Ten patients with 16 SBRTs were included and retrospectively analyzed in this case collection. All patients presented in advanced tumor stages with vascular invasion and/or metastases, but preserved liver function. Two patients were treated only with SBRT, two after TACE and six patients received SBRT in addition to systemic therapy. In most of the cases SBRT were applied to intrahepatic lesions. Large tumor thromboses, lymph nodes as well as bone metastases were irradiated in one, three and five fractions with a median overall dose of 38 Gy. We observed a good local tumor control with a good safety profile in all cases. No severe complications occurred in combination to sequential as well as additive approach to loco-regional or systemic treatments.In conclusion, our experiences confirm results of early clinical studies indicating safe use and good local control rates also in advanced stages of HCC with preserved liver function.",exclusion,Written in german,,10.1055/a-1072-6683
random-journal.pdf,LivM3,"P.M., Anderson",2017,English,LIV.M:#1;LIV.P:#1,A bi-shRNAfurin and GMCSF engineered autologous tumor cell immunotherapy vs. gemcitabine + docetaxel for Ewing sarcoma and with cryoablation in Ewing family tumors,"Background: Vigil, an immuno-stimulatory autologous cellular therapy, uses patient tumor cells transfected with a plasmid encoding genes for GM-CSF and furin (to down regulate TGFbeta 1&2). A Phase I study in relapsed Ewing's sarcoma. (N = 16) had one 9 month partial response and a two-year survival rate of 44% [1]. Rapid, durable systemic immune activation was seen in the majority of patients using an IFNgamma ELISPOT assay [2]. We seek to extend these early findings in a randomized Phase 2 study (NCT02511132). Method(s): Following surgery (for Vigil manufacture), patients are randomized 1:1 to Vigil (1 x 10 cells/ml by monthly intradermal injection), or to chemotherapy with gemcitabine 675mg/m2 IV D1 and D8 and docetaxel 75 mg/m2 IV D8 every 21 days. Key eligibility criteria include: Age > 2, histologically documented metastatic Ewing's, refractory or intolerant to >=2 prior lines of chemotherapy, and availability of at least 4 doses of manufactured Vigil. Patients with bone only disease are ineligible. The primary objective is to compare the overall survival of patients treated with Vigil vs. chemotherapy. The sample size of 62 patients assumes a one-year survival rate of 25% in the chemotherapy group vs. 60% in the Vigil group, corresponding to a hazard ratio of 0.383 favoring Vigil. Result(s): As of January 2017, thirteen patients have been randomized at 10 centers in the U.S. The design allows for reduction in disease burden prior to surgery using modalities like SBRT and interventional radiology. Toxicity of Vigil has been low compared to chemotherapy. Time to disease progression is being assessed in patients who crossover to Vigil after progressing on chemotherapy. Systemic control of metastatic lesions using cryoablation is also being assessed in other patients (e.g. DSRCT liver metastases) using a separate IND. Conclusion(s): Although associated with systemic immune activation, additional means to reduce disease burden such as SBRT and cryoablation can possibly improve patient health and augment Vigil efficacy.",exclusion,Wrong intervention,,
random-journal.pdf,LivM4,ChiCTR1800019489,2018,,LIV.M:#1;LIV.P:#2,A clinical trial for radiotherapy combination with apatinib in the treatment of hepatocellular carcinoma with portal vein tumor thrombus,"INTERVENTION: 1:SBRT combination with apatinib;2:apatinib; CONDITION: hepatocellular carcinoma with portal vein tumor thrombus PRIMARY OUTCOME: Over all survival (OS); SECONDARY OUTCOME: Objective Response Rate (ORR);Disease control rate (DCR);Progression‐free survival (PFS);Toxic and side effects;Quality of life (QOL); INCLUSION CRITERIA: 1. patient aged 5 years to 80 years male or female; 2. patient was pathological or clinical diagnosed with hepatocellular carcinoma with portal vein tumor thrombus; surgical evaluation revealed that the primary lesion was unresectable and the patient had no distant metastasis; 3. According to PVTT, the patients with type II and III, that is, tumor thrombus involving the portal trunk and first grade branches; 4.Child‐Pugh liver function rating: A or better B level (less than 8 points); 5. ECOG PS score: 0‐2 6 .Main organs are functioning normally,conform to the following criteria: (1) Blood tests: HB=90g/L; ANC=1.5Ã—10^9/L; PLT=70Ã—10^9/L; (2) Biochemical examination: ALB=28g/L; ALT and AST=5ULN; TBIL=1.5ULNd; Cr=1.5UL; 7. Participants voluntarily joined the study, signed informed consent, and had good compliance and follow‐up.",exclusion,Wrong intervention,,
random-journal.pdf,LivM5,"Meyer, Jeffrey J",2016,English,LIV.M:#5,A Phase I Dose-Escalation Trial of Single-Fraction Stereotactic Radiation Therapy for Liver Metastases.,"Background: There is significant interest in the use of stereotactic ablative radiotherapy (SABR) as a treatment modality for liver metastases. A variety of SABR fractionation schemes are in clinical use. We conducted a phase I dose-escalation study to determine the maximum tolerated dose of single-fraction liver SABR. Method(s): Patients with liver metastases from solid tumors, for whom a critical volume dose constraint could be met, were treated with single-fraction SABR. Seven patients were enrolled to the first group, with a prescription dose of 35 Gy. Dose was then escalated to 40 Gy in a single fraction, and seven more patients were treated at this dose level. Patients were followed for toxicity and underwent serial imaging to assess lesion response and local control. Result(s): Fourteen patients with 17 liver metastases were treated. There were no dose-limiting toxicities observed at either dose level. Nine of the 13 lesions assessable for treatment response showed a complete radiographic response to treatment; the remainder showed partial response. Local control of irradiated lesions was 100 % at a median imaging follow-up of 2.5 years. Two-year overall survival for all patients was 78 %. Conclusion(s): For selected patients with liver metastases, single-fraction SABR at doses of 35 and 40 Gy is tolerable and shows promising signs of efficacy at intermediate follow-up.Copyright © 2015, The Author(s).",exclusion,Other study design and wrong comparator,,http://dx.doi.org/10.1245/s10434-015-4579-z 
random-journal.pdf,LivM6,"Kang, Joseph I",2019,English,LIV.M:#5;LIV.P:#5,A phase I trial of Proton stereotactic body radiation therapy for liver metastases,"BACKGROUND: A phase I trial to determine the maximum tolerated dose (MTD) of Proton stereotactic body radiation therapy (SBRT) for liver metastases in anticipation of a subsequent phase II study. METHODS: An institutional IRB approved phase I clinical trial was conducted. Eligible patients had 1-3 liver metastases measuring less than 5 cm, and no metastases location within 2 cm of the GI tract. Dose escalation was conducted with three dose cohorts. The low, intermediate, and high dose cohorts were planned to receive 36, 48, and 60 respectively to the internal target volume (ITV) in 3 fractions. At least 700 mL of normal liver had to receive <15. Dose-limiting toxicity (DLT) included acute grade 3 liver, intestinal or spinal cord toxicity or any grade 4 toxicity. The MTD is defined as the dose level below that which results in DLT in 2 or more of the 6 patients in the highest dose level cohort. RESULTS: Nine patients were enrolled (6 male, 3 female): median age 64 years (range, 33-77 years); median gross tumor volume (GTV) 11.1 mL (range, 2.14-89.3 mL); most common primary site, colorectal (5 patients). Four patients had multiple tumors. No patient experienced a DLT and dose was escalated to 60 in 3 fractions without reaching MTD. The only toxicity within 90 days of completion of treatment was one patient with a grade 1 skin hyperpigmentation without tenderness or desquamation. Two patients in the low dose cohort had local recurrence and repeat SBRT was done to previously treated lesions without any toxicities. CONCLUSIONS: Biologically ablative Proton SBRT doses are well tolerated in patients with limited liver metastases with no patients experiencing any grade 2+ acute toxicity. Results from this trial provide the grounds for an ongoing phase II Proton SBRT study of 60 over 3 fractions for liver metastases.",exclusion,Other study design and wrong comparator,,http://dx.doi.org/10.21037/jgo.2018.08.17 
random-journal.pdf,LivM7,"Jelinek, M J",2017,English,5 study;LIV.M:#5;LIV.P:#5,"A phase I trial to evaluate concurrent or sequential ipilimumab, nivolumab, and stereotactic body radiotherapy in stage IV NSCLC","Background: Combination checkpoint inhibition has clinical activity in various tumor types. A phase I trial of nivolumab and ipilimumab in advanced NSCLC demonstrated encouraging activity and manageable toxicity. Irradiation provides palliative and local responses in NSCLC. Increasing evidence suggests that apart from its direct effects, radiotherapy and particularly ablative hypofractionated radiotherapy can act as a trigger for the innate and adaptive immune system termed the abscopal effect. The balance of signals (pro-immunogenic and immunosuppressive) may determine the effectiveness of both systemic antitumor immune responses and local tumor cell killing. Direct tumor debulking by radiation may also be particularly well suited as an adjunct to immunotherapy. In addition, immunotherapy after RT has demonstrated survival benefit. Method(s): This is a phase I study to evaluate the safety and efficacy of combination nivolumab (3 mg/kg every 2 weeks), ipilimumab (1 mg/kg every 6 weeks), and sequential or concurrent SBRT in patients with stage IV NSCLC. Patients will be simultaneously accrued to sequential versus concurrent arms in a randomized 1:1 fashion as first-line therapy. Eligibility criteria include EGFR/ALK negative stage IV disease with PS 0-1. The primary outcome is the safest SBRT dose to various metastatic locations delivered prior to or concurrently with nivolumab and ipilimumab. Metastatic locations include 1)peripheral lung, 2)central lung or mediastinal lymph node, 3)liver, 4)osseous, and 5)abdominal/pelvic with doses ranging 30-50 Gy in 3-5 fractions. Secondary outcomes include toxicity, response rate, progression free survival, tumor microenvironment changes, and immunogenicity of combination therapy. Patients will undergo biopsies pre- and post-SBRT to provide insight into the mechanism of the radiation-induced pro-inflammatory microenvironment. The total sample size will include 40-80 patients depending on the number who contribute to multiple metastatic sites. Twenty patients per randomized arm will be needed to assess the initial starting dose. Result(s): Trial in progress.",exclusion,Other study design,,
random-journal.pdf,LivM8,"E., Chajon",2018,English,LIV.M:#2,A phase I/II trial of hafnium oxide nanoparticles activated by radiotherapy in hepatocellular carcinoma and liver metastasis,"Introduction: Management of hepatocellular carcinoma (HCC) and liver metastasis (mets) requires complementary expertise of multiple specialties. Treatment decisions are increasingly complex and physicians must face a wide range of underlying liver dysfunctions and concomitant malignancies. Among available treatments, stereotactic body radiation therapy (SBRT) is well-tolerated. Yet, like with all radiation therapy (RT) techniques, the energy dose deposit needs to be maximized in tumor cells without affecting the surrounding healthy tissues. For such purpose, nanoparticles of hafnium oxide, NBTXR3, were designed to effectively absorb ionizing radiation and augment the dose deposited within the tumor cells only when activated by RT. NBTXR3 is characterized by one single administration before the first RT session and it fits into existing standard of care with no change in patient treatment schedule protocol or equipment occupancy. It is currently evaluated in a phase I/II clinical trial bringing together multiple medical fields to introduce the use of NBTXR3 with SBRT in patients with HCC or liver mets [NCT02721056]. Method(s): The trial follows a 3+3 dose escalation design at dose levels of NBTXR3 corresponding to 10%, 15%, 22%, 33% and 45% of the baseline tumor volume. Treatment is performed as a single intralesional or intraarterial injection followed by SBRT (45Gy / 3 fractions / 5 to 7 days) on patients with HCC with/without Portal Vein Tumor Thrombosis or liver mets. As SBRT is not supported by all French hospitals, the coordination of two institutions was needed in managing the patients course. This study aims primarily at identifying the Recommended Dose and of early Dose Limiting Toxicities (DLTs). Secondary endpoints include target lesions investigator assessment by mRECIST via MRI. Result(s): The first two dose levels at 10% and 15% are completed with 6 and 4 patients respectively. Two patients are currently included at the third dose level at 22%. All currently recruited patients were treated by intralesional injection. No early DLTs nor adverse events (AE) related to NBTXR3 were observed. One grade 2 malaise and two grade 3 abdominal pain AEs were reported to be related to the injection procedure. No serious adverse events related to NBTXR3 nor to the injection procedure were observed. Dispersion and permanence assessments by CT scan confirmed NBTXR3 to stay within the tumor without negatively impacting liver functions nor the reliability of the image-guided radiation therapy. Investigator assessment on target lesions by mRECIST via MRI resulted with the following best observed responses of target lesions to date in 7 evaluable patients: 3 complete responses, 3 partial responses and 1 stable disease. Conclusion(s): Overall, NBTXR3 is well tolerated with a positive safety profile. Indeed, NBTXR3 could constitute an encouraging perspective for patients vulnerable to liver complications. The success of the cooperation between different medical disciplines and several sites paves the way to an innovative mean of managing multidisciplinary affections. In parallel, NBTXR3 is also evaluated in 5 other clinical trials, including a phase II/III in soft tissue sarcoma [NCT02379845] and phases I/II for head and neck [NCT01946867; NCT02901483], prostate [NCT02805894] and rectum cancers [NCT02465593].",exclusion,"Other study, no comparator",,http://dx.doi.org/10.1093/annonc/mdy150 
random-journal.pdf,LivM9,"E., Chajon",2018,English,LIV.M:#2;LIV.P:#2,A phase I/II trial of NBTXR3 nanoparticles activated by SBRT in the treatment of liver cancers,"Background: A new class of material with high electron density, hafnium oxide, was designed at the nanoscale (NBTXR3) to efficiently enhance the energy dose deposit from within the tumor cells and increase lethality of tumors, when exposed to radiotherapy (RT). The physical mode of action of NBTXR3 may represent a breakthrough approach for the local treatment of liver cancers, as it does not engage liver and renal functions, i.e. nanoparticles are not metabolized and not excreted by kidney. A phase I/II trial has been implemented for the treatment of hepatocellular carcinoma and liver metastasis [NCT02721056]. The study is currently recruiting patients. Method(s): Patients (pts) receive a single intralesional (IL) injection of NBTXR3 (53.3g/L) at Volume levels equivalent to 10%, 15%, 22% and 33% of the baseline tumor volume, followed by RT (SBRT, 45Gy / 3 fractions / 5 to 7 days). For the Phase I part, primary endpoints include determination of the Recommended Dose and Dose Limiting Toxicities (DLT). The Phase II part will test three different groups of patients, HCC with portal vein thrombus, HCC without portal vein thrombus and a third cohort with liver metastases. Primary endpoints are complete response rate and safety. Result(s): Enrollment was completed for Volume levels 10% (6 pts) and 15% (4 pts) and is currently recruiting patients at 22% level. The NBTXR3 injections were successful in all cases. Radiotherapy has been delivered as planned without any DLT occurrence. No serious adverse event (SAE) related to NBTXR3 or the treatment procedure occurred. Three adverse events related to the injection were reported and no adverse event related to NBTXR3. Importantly, NBTXR3 nanoparticles did not have any impact on the reliability of image-guided radiation therapy (IGRT). Conclusion(s): The injection of NBTXR3 was safe and well tolerated at these levels. Patients received the planned RT. No DLT occurred. Enrollment is now opened at the 22% level. NBTXR3 shows promising results in terms of safety and antitumor activity and is also currently evaluated in other six clinical studies.",exclusion,"Other study, wrong intervention, no comparator",,http://dx.doi.org/10.1200/JCO.2018.36.4-suppl.TPS551 
random-journal.pdf,LivM10,"Bi, Nan",2019,eng,LIV.M:#1;LIV.P:#1,A Phase II Trial of Concurrent Temozolomide and Hypofractionated Stereotactic Radiotherapy for Complex Brain Metastases.,"PURPOSE: Complex brain metastases (BMs), such as large lesions, lesions within or close to eloquent locations, or multiple recurrent/progressive BMs, remain the most challenging forms of brain cancer because of decreased intracranial control rates and poor survival. In the present study, we report the results from a single institutional phase II trial of concurrent temozolomide (TMZ) with hypofractionated stereotactic radiotherapy (HFSRT) in patients with complex brain metastases, including assessment of its feasibility and toxicity. PATIENTS AND METHODS: Fifty-four patients with histologically proven primary cancer and complex BMs were enrolled between 2010 and 2015. All the patients were treated with concurrent HFSRT and TMZ (administrated orally at a dosage of 75 mg/m(2) per day for at least 20 days). The primary endpoint was overall survival (OS). RESULTS: The median follow-up time was 30.6 months. The local control rates at 1 and 2 years were 96% and 82%, respectively. The median OS was 17.4 months (95% confidence interval [CI], 12.6-22.2), and the OS rates at 1 and 2 years were 65% (95% CI, 52%-78%) and 33% (19%-47%). Only six patients (15.8%) died of intracranial disease. The median brain metastasis-specific survival was 46.9 months (95% CI, 35.5-58.4). Treatment-related grade 3-4 adverse events were rare and included one grade 3 hematological toxicity and two grade 3 liver dysfunctions. CONCLUSION: Treatment using HFSRT concurrent with TMZ was well tolerated and could significantly extend OS compared with historical controls in complex BMs. Large randomized clinical trials are warranted. Trial registration ID: NCT02654106. IMPLICATIONS FOR PRACTICE: The treatment using hypofractionated stereotactic radiotherapy concurrent with temozolomide appeared to be safe and could significantly extend overall survival compared with historical control in complex brain metastases. Large randomized clinical trials are warranted to verify our results.",exclusion,Wrong patients,,10.1634/theoncologist.2018-0702 
