source,ref-type,author,year,language,label,title,abstract,inclusion/exclusion,Reason/s for exclusion,Comments,electronic-resource-num,Repeated article,inclusion/exclusion full text,Reason/s for exclusion full text,Comments full text
random-journal.pdf,LivP1,"Czauderna, Carolin",2020,ger,LIV.M:#3;LIV.P:#5,[Monocentric experiences of stereotactic body radiation therapy (SBRT) for advanced hepatocellular carcinomas (BCLC-C)].,"Hepatocellular carcinomas (HCCs) are highly malignant primary liver cancers with poor prognosis and limited treatment options in advanced stages of disease. Treatment of HCC requires interdisciplinary discussion and multimodal therapy approaches. Beside established loco-regional and systemic therapies, stereotactic body radiation therapy (SBRT) gained increasing importance over recent years. First results of early clinical studies indicate high rates of local control with a good safety profile. In the present work, we evaluated our single center experiences with SBRT in patients with advanced HCCs.Ten patients with 16 SBRTs were included and retrospectively analyzed in this case collection. All patients presented in advanced tumor stages with vascular invasion and/or metastases, but preserved liver function. Two patients were treated only with SBRT, two after TACE and six patients received SBRT in addition to systemic therapy. In most of the cases SBRT were applied to intrahepatic lesions. Large tumor thromboses, lymph nodes as well as bone metastases were irradiated in one, three and five fractions with a median overall dose of 38 Gy. We observed a good local tumor control with a good safety profile in all cases. No severe complications occurred in combination to sequential as well as additive approach to loco-regional or systemic treatments.In conclusion, our experiences confirm results of early clinical studies indicating safe use and good local control rates also in advanced stages of HCC with preserved liver function.",exclusion,Written in german,,10.1055/a-1072-6683,,,,
random-journal.pdf,LivP2,"Le Bon, M",2019,fre,LIV.P:#5*,[Tolerance of hypofractionated stereotactic radiotherapy for hepatic tumours].,"PURPOSE: The purpose of the study was to evaluate the outcomes of stereotactic radiation therapy for primary and secondary liver tumours in Jean-Perrin cancer centre (Clermont-Ferrand, France) in terms of efficacy and safety. MATERIALS AND METHODS: Between December 2013 and June 2016, 25 patients were included. Treatment was performed on a linear accelerator Novalis TX(®). The prescription dose was 42 to 60Gy in three to five fractions. Local control at 1 year was evaluated with modified Response Evaluation Criteria in Solid Tumours (mRECIST) and RECIST criteria. Acute and late toxicity were evaluated with Common Terminology Criteria for Adverse Events (CTCAE) v4.0 criteria. RESULTS: Median follow-up was 10.5 months. Treatment tolerance was good with few side effects grade 3 or above, no acute toxicity and only one late toxicity. We have highlighted that hepatic artery haemorrhage was associated with the presence of a biliary prosthesis in contact with the artery (P=0.006) and in the irradiation field. There was no correlation with the dose delivered to the artery and hepatic artery haemorrhage. CONCLUSION: Stereotactic radiation therapy for liver tumours allows a good local control with few secondary effects. Caution should be exercised when treating patients with biliary prostheses in the vicinity of the target volume because there is a risk of haemorrhage of the hepatic artery in contact with the prosthesis.",exclusion,Wrong intervention,,10.1016/j.canrad.2019.02.004,,,,
random-journal.pdf,LivP3,"Y., Jahangiri",2019,English,LIV.P:#2;LIV.P:#5,03:00 PM Abstract No. 179 Combination therapy with TACE+ablation vs. TACE + SBRT for hepatocellular carcinoma (HCC): comparative analysis with propensity score-weighted cohorts,"Purpose: To assess the relative efficacy and toxicity associated with TACE+Ablation (Ablation) or TACE+SBRT (SBRT) in a large cohort of patients with unresectable HCC. Materials: Patients with HCC undergoing Ablation or SBRT from 2006-2016 with available follow up were included. Treatment groups were different at baseline regarding tumor stage (BCLC A, B and C: 96%, 4%, 0% (Ablation) vs 73%, 14% and 13% (SBRT), P<0.001) and severity of liver disease (CTP A, B and C: 55%, 45% and 0% (Ablation) vs 50%, 41% and 9% (SBRT), P=0.007). Propensity scores were therefore calculated with age, sex, BCLC stage, CTP class, etiology of liver disease, tumor number and diameter to balance the cohorts. Average treatment effects on survival with multivariable propensity score-weighted competing risk Cox regression models were evaluated, with BCLC stage, number of treated tumors and liver transplant as additionally controlled variables. Primary outcome was overall survival (OS). Secondary outcomes were progression-free survival (PFS), local tumor control and hepatotoxicity. Treatment-related hepatotoxicity was defined as a 2 point change in CTP within 6 months after treatment. Result(s): 192 subjects were included (101 Ablation, 91 SBRT; median age=60 years, 75% men). Liver disease included HCV (78%), alcohol (35%) and NASH (8%). Liver transplant-adjusted 1- and 2-year OS rates were significantly greater for Ablation vs SBRT (88% vs 75% and 77% vs 50%, P<0.001). 1-and 2-year PFS rates were significantly greater for Ablation vs SBRT (84% vs 65% and 75% vs 51%, P<0.001). 1- and 2- year local tumor control rates were similar with both strategies (99% vs 91% and 94% vs 87%, P=0.298). Propensity score-weighted multivariable analysis showed significantly higher OS (sHR: 2.31, P=0.006) and PFS rates (sHR:1.75, P=0.008) with Ablation compared to SBRT. Ablation was also associated with lower post-treatment hepatotoxicity compared with SBRT (5% vs 12%, P=0.001). Conclusion(s): TACE+Ablation demonstrated higher OS/PFS and lower post-treatment hepatotoxicity compared with TACE+SBRT. Local disease control up to 2-years was equivocal, potentially suggesting equipoise for bridge to transplant.Copyright © 2019",exclusion,Wrong comparator, TACE+ablation vs. TACE + SBRT,http://dx.doi.org/10.1016/j.jvir.2018.12.233,,,,
random-journal.pdf,LivP4,"P.M., Anderson",2017,English,LIV.M:#1;LIV.P:#1,A bi-shRNAfurin and GMCSF engineered autologous tumor cell immunotherapy vs. gemcitabine + docetaxel for Ewing sarcoma and with cryoablation in Ewing family tumors,"Background: Vigil, an immuno-stimulatory autologous cellular therapy, uses patient tumor cells transfected with a plasmid encoding genes for GM-CSF and furin (to down regulate TGFbeta 1&2). A Phase I study in relapsed Ewing's sarcoma. (N = 16) had one 9 month partial response and a two-year survival rate of 44% [1]. Rapid, durable systemic immune activation was seen in the majority of patients using an IFNgamma ELISPOT assay [2]. We seek to extend these early findings in a randomized Phase 2 study (NCT02511132). Method(s): Following surgery (for Vigil manufacture), patients are randomized 1:1 to Vigil (1 x 10 cells/ml by monthly intradermal injection), or to chemotherapy with gemcitabine 675mg/m2 IV D1 and D8 and docetaxel 75 mg/m2 IV D8 every 21 days. Key eligibility criteria include: Age > 2, histologically documented metastatic Ewing's, refractory or intolerant to >=2 prior lines of chemotherapy, and availability of at least 4 doses of manufactured Vigil. Patients with bone only disease are ineligible. The primary objective is to compare the overall survival of patients treated with Vigil vs. chemotherapy. The sample size of 62 patients assumes a one-year survival rate of 25% in the chemotherapy group vs. 60% in the Vigil group, corresponding to a hazard ratio of 0.383 favoring Vigil. Result(s): As of January 2017, thirteen patients have been randomized at 10 centers in the U.S. The design allows for reduction in disease burden prior to surgery using modalities like SBRT and interventional radiology. Toxicity of Vigil has been low compared to chemotherapy. Time to disease progression is being assessed in patients who crossover to Vigil after progressing on chemotherapy. Systemic control of metastatic lesions using cryoablation is also being assessed in other patients (e.g. DSRCT liver metastases) using a separate IND. Conclusion(s): Although associated with systemic immune activation, additional means to reduce disease burden such as SBRT and cryoablation can possibly improve patient health and augment Vigil efficacy.",exclusion,Wrong intervention,,,,,,
random-journal.pdf,LivP5,ChiCTR1800019489,2018,,LIV.M:#1;LIV.P:#2,A clinical trial for radiotherapy combination with apatinib in the treatment of hepatocellular carcinoma with portal vein tumor thrombus,"INTERVENTION: 1:SBRT combination with apatinib;2:apatinib; CONDITION: hepatocellular carcinoma with portal vein tumor thrombus PRIMARY OUTCOME: Over all survival (OS); SECONDARY OUTCOME: Objective Response Rate (ORR);Disease control rate (DCR);Progression‐free survival (PFS);Toxic and side effects;Quality of life (QOL); INCLUSION CRITERIA: 1. patient aged 5 years to 80 years male or female; 2. patient was pathological or clinical diagnosed with hepatocellular carcinoma with portal vein tumor thrombus; surgical evaluation revealed that the primary lesion was unresectable and the patient had no distant metastasis; 3. According to PVTT, the patients with type II and III, that is, tumor thrombus involving the portal trunk and first grade branches; 4.Child‐Pugh liver function rating: A or better B level (less than 8 points); 5. ECOG PS score: 0‐2 6 .Main organs are functioning normally,conform to the following criteria: (1) Blood tests: HB=90g/L; ANC=1.5Ã—10^9/L; PLT=70Ã—10^9/L; (2) Biochemical examination: ALB=28g/L; ALT and AST=5ULN; TBIL=1.5ULNd; Cr=1.5UL; 7. Participants voluntarily joined the study, signed informed consent, and had good compliance and follow‐up.",exclusion,Wrong intervention,,,,,,
random-journal.pdf,LivP6,ChiCTR1800020454,2018,,LIV.P:#2,A clinical trial for SBRT combined with PD-1 monoclonal antibody in the treatment of unresectable hepatocellular carcinoma,"INTERVENTION: Group 1:SBRT combined with PD‐1 monoclonal antibody group;Group 2:SBRT; CONDITION: unresectable hepatocellular carcinoma PRIMARY OUTCOME: PFS;OS;MRI; SECONDARY OUTCOME: AFP;Liver function;Blood routine examination;Lymphocyte subsets; INCLUSION CRITERIA: 1. Aged 18 to 75 years old; 2. The patient was diagnosed as hepatocellular carcinoma for the first time; 3. Patients with locally advanced liver cancer who are unwilling or unwilling to undergo liver transplantation, hepatectomy, arterial chemoembolization and radiofrequency therapy must be diagnosed on the basis of biopsy or typical imaging findings (previous history of cirrhosis or chronic hepatitis B and hepatitis C), strict Patients with primary locally advanced HCC (single lesion diameter <6 cm) who meet the clinical diagnostic criteria for primary diagnosis and treatment of primary liver cancer (2011 version) or pathologically diagnosed or cytologically untreated without systemic chemotherapy and molecular targets To treatment; 4. Child‐pugh liver function rating: grade A or better grade B (no more than 8 points); 5. ECOG PS score: 0‐2; 6. The main organ function is normal, which meets the following criteria: (1) blood routine examinati",exclusion,Wrong comparator,,,,,,
random-journal.pdf,LivP7,ChiCTR-IIR-16009732,2016,,LIV.P:#2,"A multicenter, randomized controlled trial on diffuse hepatocellular carcinoma treated with Stereotactic intensity-modulated radiotherapy combined with Traditional Chinese medicine Kang'aisan",,exclusion,Wrong comparator,"To compare Stereotactic intensity-modulated radiotherapy combined with Traditional Chinese medicine Kangaisan versus placebo to treat diffuse hepatocellular carcinoma. To observe the differences of KPS, QOL-C30, clinical symptoms, median survival, clinical benefit rate, overall survival, side effect and so forth. ",,,,,
random-journal.pdf,LivP8,"Jang, Won Il",2020,eng,LIV.P:#5*,A phase 2 multicenter study of stereotactic body radiotherapy for hepatocellular carcinoma: Safety and efficacy.,"BACKGROUND: Although several prospective studies have reported the efficacy of stereotactic body radiotherapy (SBRT) for hepatocellular carcinoma (HCC), treatment-related toxicity varies and has not been determined. Therefore, the authors evaluated the safety and efficacy of SBRT for patients with HCC in a hepatitis B virus-endemic area. METHODS: This multicenter phase 2 trial enrolled patients with unresectable HCC. Patients received SBRT with 45 to 60 Gy in 3 fractions. To evaluate gastroduodenal toxicity, esophagogastroduodenoscopy (EGD) was performed before and 2 months after SBRT. The primary endpoint was treatment-related severe toxicity at 1 year after SBRT. The secondary endpoints were the 2-year local control, progression-free survival, and overall survival rates. RESULTS: In total, 74 patients were enrolled between January 2012 and April 2015, and 65 eligible patients were analyzed. One patient experienced radiation-induced liver disease with acute grade ≥3 toxicity 1 month after SBRT. In addition, 1 patient had a grade 3 esophageal ulcer with stenosis 5 months after SBRT. The actuarial rate of treatment-related severe toxicity at 1 year was 3%. The pre-SBRT and post-SBRT EGD findings were not significantly different among the 57 evaluable patients who underwent EGD. The 2-year and 3-year local control rates were 97% and 95%, respectively. The progression-free and overall survival rates were 48% and 84% at 2 years, respectively, and 36% and 76% at 3 years, respectively. CONCLUSIONS: With a median follow-up of 41 months, this prospective multicenter study demonstrated that SBRT for patients with HCC is well tolerated and is an effective treatment modality.",exclusion,No comparator,,10.1002/cncr.32502,,,,
random-journal.pdf,LivP9,"N., Sebastian",2019,English,LIV.P:#5,A Phase I Trial Evaluating Stereotactic Body Radiation Therapy to Induce Hyperemia in Combination with Transarterial Chemoembolization for Hepatocellular Carcinoma,"Purpose/Objective(s): Transarterial chemoembolization (TACE) is indicated in patients with intermediate-stage, unresectable hepatocellular carcinoma (HCC). Stereotactic body radiation therapy (SBRT) is increasingly being used in HCC. Preclinical studies show that moderate radiation doses (5-10 Gy) induce acute changes in tumor permeability and perfusion. Thus, we hypothesize that SBRT followed by TACE within 24 hours promotes sensitization to TACE. In this prospective phase I trial, we evaluated the feasibility, safety, tolerability, and functional magnetic resonance imaging (MRI) changes associated with single-fraction SBRT followed by TACE within 24 hrs. Materials/Methods: Patients with HCC, 1-3 lesions, Childs-Pugh A/B liver function, and no major vascular invasion were enrolled. The primary objective was to establish the feasibility of single-dose SBRT (7.5 or 10 Gy) followed by TACE within 24 hrs. Secondary endpoints included safety, tolerability, tumor perfusion changes via dynamic-contrast enhanced (DCE) MRI (at 6 or 24 hrs after SBRT), overall response rate (ORR), clinical benefit rate (CBR), freedom from local progression (FFLP), progression-free survival (PFS), and overall survival (OS). Tumor response and progression were graded using modified RECIST criteria. The uni-directional exchange rate constants kep (interstitial space to blood plasma) and kpe (blood plasma to interstitial space) were reported as measures of vascular permeability/perfusion. Result(s): A total of 16 patients were enrolled, and all but one patient received SBRT. Within 24 hours, 13 of these 15 patients successfully underwent TACE. The median age was 64 years (range 48 to 79) and 84.6% of patients were males. Median tumor size was 5.6 cm (range 2.0 to 12.0). Median follow up for living patients is 12.6 months. Crude ORR and CBR are 58% and 75%, respectively. Median OS, PFS, and FFLP are 14.2 months, 6 months, and 5.3 months, respectively. Crude rates of grade 1+ and grade 2+ toxicity are 85% and 38%, respectively. There were no grade 3 or 4 toxicities. One patient died due to TACE-related hemorrhage 4 days after TACE (grade 5). Regarding DCE-MRI metrics, kpe showed a rapid increase within 6 hrs post-SBRT (mean +300.0%, range -6% to +1030%, p=0.01), but a decrease by 24 hrs (mean -34%, range -75% to +17%, p=0.05). A similar trend was also observed for kep, with an increase within 6 hrs post-SBRT (mean +61.3%, range -50% to +218%, p=0.07) and return to near baseline by 24 hrs (mean +21%, range -29% to +155%, p=0.23). Conclusion(s): Single-fraction SBRT followed by TACE within 24 hrs is a feasible and tolerable strategy for intermediate-stage HCC. DCE-MRI analysis revealed significant acute changes in tumor permeability/perfusion after SBRT. Additional studies are needed to establish the safety and efficacy of this combination, and the effects of SBRT on the HCC microenvironment.Copyright © 2019",exclusion,"Other study design, no comparator",,http://dx.doi.org/10.1016/j.ijrobp.2019.06.281,,,,
random-journal.pdf,LivP10,"Kang, Joseph I",2019,English,LIV.M:#5;LIV.P:#5,A phase I trial of Proton stereotactic body radiation therapy for liver metastases,"BACKGROUND: A phase I trial to determine the maximum tolerated dose (MTD) of Proton stereotactic body radiation therapy (SBRT) for liver metastases in anticipation of a subsequent phase II study. METHODS: An institutional IRB approved phase I clinical trial was conducted. Eligible patients had 1-3 liver metastases measuring less than 5 cm, and no metastases location within 2 cm of the GI tract. Dose escalation was conducted with three dose cohorts. The low, intermediate, and high dose cohorts were planned to receive 36, 48, and 60 respectively to the internal target volume (ITV) in 3 fractions. At least 700 mL of normal liver had to receive <15. Dose-limiting toxicity (DLT) included acute grade 3 liver, intestinal or spinal cord toxicity or any grade 4 toxicity. The MTD is defined as the dose level below that which results in DLT in 2 or more of the 6 patients in the highest dose level cohort. RESULTS: Nine patients were enrolled (6 male, 3 female): median age 64 years (range, 33-77 years); median gross tumor volume (GTV) 11.1 mL (range, 2.14-89.3 mL); most common primary site, colorectal (5 patients). Four patients had multiple tumors. No patient experienced a DLT and dose was escalated to 60 in 3 fractions without reaching MTD. The only toxicity within 90 days of completion of treatment was one patient with a grade 1 skin hyperpigmentation without tenderness or desquamation. Two patients in the low dose cohort had local recurrence and repeat SBRT was done to previously treated lesions without any toxicities. CONCLUSIONS: Biologically ablative Proton SBRT doses are well tolerated in patients with limited liver metastases with no patients experiencing any grade 2+ acute toxicity. Results from this trial provide the grounds for an ongoing phase II Proton SBRT study of 60 over 3 fractions for liver metastases.",exclusion,Other study design and wrong comparator,,http://dx.doi.org/10.21037/jgo.2018.08.17,,,,
