source,ref-type,author,year,language,label,title,abstract,inclusion/exclusion,Reason/s for exclusion,Comments,electronic-resource-num,Repetit,Full text,Reason for exclusion
random-journal.pdf,ProM1,"Pasqualetti, Francesco",2016,eng,pro.m:#5;pro.p:#5,[(18)F]Choline PET/CT and stereotactic body radiotherapy on treatment decision making of oligometastatic prostate cancer patients: preliminary results.,"BACKGROUND: A new entity of patients with recurrent prostate cancer limited to a small number of active metastatic lesions is having growing interest: the oligometastatic patients. Patients with oligometastatic disease could eventually be managed by treating all the active lesions with local therapy, i.e. either surgery or ablative stereotactic body radiotherapy. This study aims to assess the impact of [(18)F]Choline ([(18)F]FMCH) PET/CT and the use stereotactic body radiotherapy (SBRT) in patients (pts) with oligometastatic prostate cancer (PCa). METHODS: Twenty-nine pts with oligometastatic PCa (≤3 synchronous active lesions detected with [(18)F]FMCHPET/CT) were treated with repeated salvage SBRT until disease progression (development of > three active synchronous metastases). Primary endpoint was systemic therapy-free survival measured from the baseline [(18)F]FMCHPET/CT. RESULTS: A total of 45 lesions were treated with SBRT. After a median follow-up of 11.5 months (range 3-40 months), 20 pts were still in the study and did not receive any systemic therapy. Nine pts started systemic therapy, and the median time of the primary endpoint was 39.7 months (CI 12.20-62.14 months). No grade 3 or 4 toxicity was recorded. CONCLUSIONS: Repeated salvage [(18)F]FMCHPET/CT-guided SBRT is well tolerated and could defer the beginning of systemic therapy in selected patients with oligometastatic PCa.",exclusion,Other study design + no comparator,,10.1186/s13014-016-0586-x,ProP2,,
random-journal.pdf,ProM2,"Plasswilm, Ludwig",2019,ger,5 study;pro.m:#5;pro.p:#5,[Modern Treatment Concepts in Radiation Oncology].,"Modern Treatment Concepts in Radiation Oncology Abstract. Radiotherapy is a widely used form of therapy that is used in half of all cancer patients. Advances in understanding the fundamentals of tumor and radiation biology, in medical physics and computer science as well as technical developments have continuously improved the effectiveness and healing success of radiotherapy. Patients benefit from new treatment concepts such as hypofractionated radiotherapy for breast and prostate cancer, leading to a reduction in the duration of treatment by several weeks. Selected patients with early stages of breast cancer can be treated with partial breast irradiation with focus on the tumor bed after breast conserving surgery increasing tolerability and comfort. High dose stereotactic radiotherapy over five to six sessions of radiation or only one fraction (radiosurgery) have expanded treatment options for common tumor entities leading to long-lasting tumor control resulting in improved survival and quality of life for those affected. In early lung cancer stereotactic radiotherapy is an alternative to primary tumor surgery. For patients with oligometastatic tumor disease stereotactic radiotherapy allows a curative approach by effectively treating metastases. In patients with brain metastases whole-brain irradiation is replaced by stereotactic irradiation of the individual metastases with fewer side effects. Recently, promising results for improved tumor control with the combination of radiotherapy and immunotherapy have been presented. Radioimmunotherapy represents a new therapy combination. However, final assessment of its efficacy and side effects profile is still missing. In order to gain therapeutic certainty, further prospective study data are necessary.",exclusion,review,Llegir per a informació general sobre RT,10.1024/0040-5930/a001086,ProP3,,
random-journal.pdf,ProM3,"Le Fèvre, C",2018,fre,5 study;lung p #1;pro.m:#5;pro.p:#5,[Radiotherapy of bone metastases in France: A descriptive monocentric retrospective study].,"PURPOSE: Bone metastases cause pain and affect patients' quality of life. Radiation therapy is one of the reference analgesic treatments. The objective of this study was to compare the current practices of a French radiotherapy department for the treatment of uncomplicated bone metastases with data from the literature in order to improve and optimize the management of patients. MATERIAL AND METHODS: A retrospective monocentric study of patients who underwent palliative irradiation of uncomplicated bone metastases was performed. RESULTS: Ninety-one patients had 116 treatments of uncomplicated bone metastases between January 2014 and December 2015, including 44 men (48%) and 47 women (52%) with an average age of 63years (25-88years). Primary tumours most commonly found were breast cancer (35%), lung cancer (16%) and prostate cancer (12%). The regimens used were in 29% of cases 30Gy in ten fractions (group 30Gy), in 21% of cases 20Gy in five fractions (group 20Gy), in 22% of cases 8Gy in one fraction (group 8Gy) and in 28% of cases 23.31Gy in three fractions of stereotactic body irradiation (stereotactic group). The general condition of the patient (P<0.001), pain score and analgesic (P<0.001), oligometastatic profile (P=0.003) and practitioner experience (P<0.001) were factors influencing the choice of the regimen irradiation. Age (P=0.46), sex (P=0.14), anticancer treatments (P=0.56), concomitant hospitalization (P=0.14) and the distance between the radiotherapy centre and home (P=0.87) did not influence the decision significantly. A total of three cases of spinal compression and one case of post-therapeutic fracture were observed, occurring between one and 128days and 577days after irradiation, respectively. Eight percent of all irradiated metastases were reirradiated with a delay ranging between 13 and 434days after the first irradiation. The re-irradiation rate was significantly higher after 8Gy (P=0.02). The rate of death was significantly lower in the stereotactic arm (P<0.001) and overall survival was significantly greater in the stereotactic arm (P<0.001). CONCLUSION: This study showed that patients' analysed was comparable to the population of different studies. Predictive factors for the choice of the treatment regimen were identified. Non-fractionnated therapy was underutilised while stereotactic treatment was increasingly prescribed, showing an evolution in the management of patients.",exclusion,Not dealing with the intervention of interest (dealing with bone metastasis),,10.1016/j.canrad.2017.09.006,ProP4,,
random-journal.pdf,ProM4,"Gao, Z",2019,chi,pro.m:#5,[The dosimetry comparison study between 3D print template and free-hand guided of precision (125)I seeds implantation on superficial metastatic carcinoma].,"Objective: To compare the dose difference of (125)I seeds implantation on superficial metastatic carcinoma between 3D print template guided operation and traditional implantation. To investigate the accuracy of seeds implantation according preplan guided by 3D print template. Methods: A total of 21 cases of patient with 27 lesions underwent (125)I seeds implantation from January 2015 to May 2018 in Hebei General Hospital were analyzed retrospectively. In which, ten lesions underwent seeds implantation guided by 3D print template (template group) and 17 lesions underwent free-hand traditional implantation (traditional group). All patients had been fixed as the position of operation and then performed CT scan. After preplan was designed, the 3D templates were printed in template group. Postplan was performed after the operation.The dose volume histogram, D90 was calculated. The D90 pre and post operation were collected and compared in each group. The difference of D90 and the percentage difference of D90 between pre and post operation were calculated by the formula D90d=D90post-D90pre, D90d%=(D90post-D90pre)/D90pre_100%, and compared the difference between two groups. Results: The mean D90 pre and post operation in template group were (92±26) and (93±27) Gy respectively, t=-0.749, P=0.473. The mean D90 pre and post operation in traditional group were (104±29) and (104±26) Gy respectively, t=-0.139, P=0.891. The difference of D90 in two groups were (3.1±2.4) and (10.0±8.7) Gy, Z=-2.5, P=0.012. The percentage difference of D90 in two groups were 3.1%±1.9% and 9.5%±7.9%, Compared with the traditional group, the template group had smaller fluctuations, and the difference was statistically significant (Z=-2.7, P=0.006) (all P<0.05). Conclusions: The dose parameters of 3D template guided seeds implantation between postplan and preplan are nearly consistent.3D template has good repeatability, which provides a theoretical basis for the popularization of 3D printing technology.",exclusion,Not dealing with the intervention of interest,,10.3760/cma.j.issn.0376-2491.2019.47.004,,,
random-journal.pdf,ProM5,"Latorzeff, I",2019,fre,5 study;pro.m:#5;pro.p:#5,"[Treatment of primary disease (breast, non-small cell lung and prostate cancers) with irradiation in case of de novo metastatic cancer].","The basis of treatment of primary disease in case of metastatic cancer at diagnosis is based on the knowledge of the natural history of the disease, the biology of the primary tumour and its metastases, advances in modern radiotherapy techniques (modulated intensity, stereotactic radiotherapy) in order to improve the survival of patients with advanced disease. The clinical concept of oligometastatic disease at diagnosis has repositioned the interest of local treatment for primitive disease because these patients have a slower evolutionary profile than metastatic disease extended from the outset. This article reviews the indication of radiotherapy as a local treatment for primary cancer in a de novo metastatic diagnosed disease in the case of breast cancer, non-small cell lung cancer and prostate cancer.",exclusion,review,Llegir per informació de quan utilitzar RT en càncer de pròstata,10.1016/j.canrad.2019.08.004,ProP8,,
random-journal.pdf,ProM6,"Franzese, Ciro",2017,eng,pro.m:#5,11C-Choline-Pet Guided Stereotactic Body Radiation Therapy for Lymph Node Metastases in Oligometastatic Prostate Cancer.,"INTRODUCTION: aim is outcome of 11C-Choline-PET guided SBRT on lymph node metastases. MATERIALS AND METHODS: patients with 1 - 4 lymph node metastases detected by 11C-choline-PET were treated with SBRT. Toxicity, treated metastases control and Progression Free Survival were computed. RESULTS: twenty-six patients, 38 lymph node metastases were irradiated. No grade ≥ 2 toxicity. Median PSA-nadir after RT was 1.02 ng/mL. Post-treatment 11C-Choline-PET showed metabolic complete response in 17 metastases (44,7%), partial response in 9 metastases (38%). CONCLUSION: SBRT is effective and safe for lymph node metastases. PET is important in identification of gross tumor and evaluation of the response.",exclusion,Other study design + no comparator,,10.1080/07357907.2017.1375116,,,
random-journal.pdf,ProM7,Anonymous.,2017,English,pro.m:#5,"13th British Uro-Oncology Group, BUG Annual Meeting",The contain 13 papers. The topics discussed include: short-term clinical toxicity of high dose rate brachytherapy in prostate cancer patients with inflammatory bowel disease; effect of dose to the penile bulb on erectile potency (EP) in prostate image-guided radiotherapy (IGRT); patient satisfaction with multidisciplinary clinics for early prostate cancer: a comparison of the French and UK patient experience; a comparison of toxicities and clinical benefit of radium 223 between different age groups; stereotactic body radiotherapy (SBRT) for localised prostate cancer on the magnetic resonance Linac; prostate low dose rate brachytherapy: the Cambridge experience; survival data for patients with high risk prostate cancer treated with intensity modulated radiotherapy/volumetric modulated arc therapy at Aberdeen royal infirmary; do routine computed tomography scans detect early spinal cord compression in patients with castrate resistant prostate cancer? implications for the prompts trial; comparison of toxicity and efficacy outcomes of abiraterone and enzalutamide in 198 patients with metastatic castrate resistant prostate cancer; single fraction external beam radiotherapy for localised prostate cancer: a planning study; radiotherapy for brain metastases from renal cancer and utility of prognostic indices: real life experience from the Beatson West of Scotland cancer centre; and GAMEC chemotherapy for untreated and relapsed germ cell tumours: 15 years of experience with a dose intense regimen at St Bartholomew's hospital.,exclusion,proceedings,,,,,
random-journal.pdf,ProM8,"N., Hardcastle",2018,English,#1;pro.m:#5,18-F sodium fluoride (NaF) PET/CT response assessment after stereotactic ablative body radiotherapy to oligometastatic prostate cancer in a prospective clinical trial,"Purpose: Bony metastases are common in advanced prostate cancer and impact on quality of life through pain and skeletal related events. Prostate cancer bone metastases are largely sclerotic; RECIST response assessment is not valid and visual response assessment using conventional bone scan and CT can be unreliable (1). 18F-NaF-PET-CT images osteoblastic activity with superior sensitivity and resolution compared to conventional bone scintigraphy whilst enabling accurate uptake quantification (2). We report on 18FNaF uptake before and after stereotactic ablative body radiotherapy (SABR) to prostate cancer bony metastases. Methods and Materials: All patients with bony metastases enrolled in the POPSTAR trial received an 18F-NaF-PET-CT prior to and 6 months post-SABR. All patients received a single 20 Gy fraction to one or more lesions with 3D-conformal or intensity modulated techniques. The gross tumour volume (GTV) was contoured using the 18F-NaF-PET-CT and planning CT, and a 5 mm planning target volume (PTV) margin was applied to non-spine lesions. Spine clinical target volumes were derived using the International Spinal Radiosurgery Consortium guidelines and a 3 mm PTV margin applied. The 18F-NaF-PET-CT uptake was measured in the GTV, and non-GTV bone receiving 2-24 Gy in 2 Gy increments. Result(s): Twenty-one patients with 33 bony metastases were included with a mean st. dev. 7.4 1.0 months follow-up 18FNaF-PET-CT scan. The SUVmean of normal, un-irradiated bone was consistent between pre and post-treatment scans, with a mean st. dev. ratio, post/pre of 0.98 0.08. Reduction in GTV SUVmax was observed in 30/33 lesions. Of the three lesions with increased SUVmax, two were from the same patient who had local progression in one lesion. A second patient with local progression exhibited a 50% decrease in tumour SUVmax. No loss in SUVmean was observed in non-tumour bone receiving <10 Gy; above 10 Gy uptake decreased with increasing radiotherapy dose to a mean S.E.M loss of 24 6% for non-tumour bone receiving 24 Gy. Conclusion(s): 18F-NaF-PET-CT detected response in 80% of lesions treated with single fraction SABR. The effect of a single dose of radiation to less than 10 Gy has minimal impact on normal bone osteoblastic activity.",exclusion,Other tumor treated (skeletal),,http://dx.doi.org/10.1111/%28ISSN%291754-9485,,,
random-journal.pdf,ProM9,"Y., Kuang",2016,English,#1;pro.m,18F-sodium fluoride PET/CT-guided dose escalation in stereotactic body radiotherapy for spine oligometastases from prostate cancer,"Purpose: Recent clinical evidence has shown that SBRT using high dose with either a single fraction or a limited number of fractions can lead to excellent pain control as well as local tumor control in patients with spine oligometastases. However, as a dose limiting factor, proximity to spinal cord often precludes SBRT delivering the full prescription dose (PD) and/or escalating dose to the planning target volume (PTV) of spine oligometastases, thus compromising the therapeutic ratio. To investigate the technical feasibility of SBRT dose painting using 18F-NaF positron emission tomography (PET) scans guidance in patients with spine oligometastases from prostate cancer. Method(s): As a proof of concept, six patients with 15 spine oligometastatic lesions from prostate cancer who had 18F-NaF PET/CT scan prior to treatment were retrospectively included. GTVreg was delineated according to the regular tumor boundary shown on PET and/or CT images; and GTVMATV was contoured based on a net metabolically active tumor volume (MATV) defined by 60% of the SUVmax values on 18F- NaF PET images. The PTVs (PTVreg and PTVMATV ) were defined as respective GTVs (plus involved entire vertebral body for PTVreg ) with a 3-mm isotropic expansion margin. Three 1-fraction SBRT plans using VMAT technique along with 10 MV FFF beams (Plan24Gy , Plan24-27Gy , and Plan24-30Gy ) were generated for each patient. All plans included a dose of 24 Gy prescribed to PTVreg . The Plan24-27Gy and Plan24-30Gy also included a simultaneous boost dose of 27 Gy or 30 Gy prescribed to the PTVMATV , respectively. The feasibility of 18F-NaF PET-guided SBRT dose escalation was evaluated by its ability to achieve the prescription dose objectives while adhering to organ-at-risk (OAR) dose constraints. The normal tissue complication probabilities (NTCP) calculated by radiological models were also compared between the plans. Result(s): In all 33 SBRT plans generated, the planning objectives and dose constraints were met without exception. Plan24-27Gy and Plan24-30Gy had a significantly higher dose in PTVMATV than Plan24 (p < 0.05), respectively, while maintaining a similar OAR sparing profile and NTCP values. Conclusion(s): The strategy of delivering differential doses using SBRT with a simultaneous integrated dose boost to MATV offers the option of irradiating host facilitating cells simultaneously with the cancer cells in the tumor ecosystem. Using VMAT with FFF beams to incorporate a simultaneous 18F-NaF PET-guided radiation boost dose up to 30 Gy into a SBRT plan is technically feasible. The relationship between local control and normal tissue toxicity in SBRT dose painting should be validated in clinical trials.",exclusion,Other tumor treated (spinal),,http://dx.doi.org/10.1158/1538-7445.AM2016-3974,,,
random-journal.pdf,ProM10,Anonymous.,2019,English,5 study;pro.m:#5;pro.p:#5,2019 Research Workshop: Treatment of Oligometastatic Disease - Closer to the Cure,"The proceedings contains 18 papers. The topics discussed include: Plasma Circulating Tumor HPV DNA for Early Detection of Cancer Recurrence in HPV-associated Oropharyngeal Cancer;A Validated Radiomics T Cell Score Predicts Response to Multi-site SBRT Combined with Pembrolizumab;Dosimetric Comparison of Biologically-Guided Radiotherapy and X-ray-Guided Stereotactic Ablative Radiotherapy for Oligometastatic Prostate Cancer;Multi-Site SBRT and Sequential Pembrolizumab: Treated Metastasis Control and Immune-Related Expression Predict Outcomes;Phase 1b study of stereotactic body radiation therapy in combination with systemic therapy in patients with extracranial oligometastatic renal cell carcinoma;Management of Oligometastatic Squamous Cell Carcinoma of the Head and Neck;Number of Metastatic Organ Sites and Survival by Molecular Profile in Lung Adenocarcinoma;Stereotactic Ablative Radiation Therapy for Oligometastatic Non-Small Cell Lung Cancer, Subset Analysis of a Prospective Phase II Clinical Trial;Increased Biologically Effective Dose (BED) To The Primary Tumor Improves Survival in Patients with Oligometastatic NSCLC: A Retrospective Dose Response Analysis;Radium 223 Dichloride in Combination with Androgen Deprivation Therapy and Stereotactic Body Radiation Therapy for Patients with Stage IV Oligometastatic Castration Sensitive Prostate Cancer: Clinical Trial in Progress;Platform Phase I Study Investigating the Safety of Multisite Stereotactic Body Radiotherapy with Immuno-Oncology Agents for the Treatment of Metastatic Advanced Solid Tumors;Radiotherapy In The Definitive Management Of Oligometastatic Prostate Cancer;Predictive factors and survival outcomes with stereotactic body radiation therapy in treatment of oligometastases in colorectal cancer;Long-term Disease Control and Survival Observed after Stereotactic Body Radiotherapy for Oligometastatic Breast Cancer;Molecular Profiling of Oligometastases and Artificial Intelligence-based Model for Predicting Treatment Outcome in Advance Prostate Cancer;Advance SBRT approaches for patients with oligometastases;Neoadjuvant Stereotactic Ablative and Hypofractionated Radiotherapy for Oligometastatic NSCLC",exclusion,proceedings,,,ProP10,,
