source,ref-type,author,year,language,label,title,abstract,inclusion/exclusion,Reason/s for exclusion,Comments,Repetit,electronic-resource-num,Full text,Reason for exclusion,Per llista ongoing ClinicalTrials
random-journal.pdf,ProP1,"Farolfi, Andrea",2019,eng,pro.p,(68)Ga-PSMA-11 PET/CT in prostate cancer patients with biochemical recurrence after radical prostatectomy and PSA <0.5 ng/ml. Efficacy and impact on treatment strategy.,"PURPOSE: The primary aim of this retrospective, single-centre analysis was to assess the performance of (68)Ga-PSMA-11 PET/CT in prostate cancer (PCa) patients in early PSA failure after radical prostatectomy (RP). The secondary aim was to assess the potential impact of (68)Ga-PSMA-11 PET/CT on treatment strategy. METHODS: (68)Ga-PSMA-11 PET/CT is performed in our institution within an investigational new drug (IND) trial in PCa patients with biochemical recurrence (BCR). The records of all patients enrolled between March 2016 and July 2017 were evaluated. These records were retrospectively analysed according to the following inclusion criteria: (a) RP as primary therapy, (b) proven BCR, ©) PSA levels in the range 0.2-0.5 ng/ml at the time of the (68)Ga-PSMA-11 PET/CT investigation, and (d) no salvage radiotherapy (S-RT) performed after recurrence. The performance of (68)Ga-PSMA-11 PET/CT was evaluated in terms of detection rate on a per-patient and a per-region basis (local vs. distant lesions). We further performed an intention-to-treat (ITT) analysis. The patient cohort was grouped into three subpopulations, blinded to the (68)Ga-PSMA-11 PET/CT results, according to the patients' characteristics and different patterns of treatment: (1) S-RT (with or without systemic treatment), (2) stereotactic body radiotherapy (SBRT) (with or without systemic treatment), and (3) systemic treatment. The treatment strategy was re-evaluated for each patient taking into consideration the (68)Ga-PSMA-11 PET/CT images. RESULTS: We enrolled 119 PCa patients (mean age 66 years, range 44-78 years) with a mean PSA level at the time of (68)Ga-PSMA-11 PET/CT of 0.34 ng/ml (median 0.32 ng/ml, SD ±0.09, range 0.20-0.50 ng/ml). (68)Ga-PSMA-1 1 PET/CT was positive in 41 of the 119 patients, resulting in an overall detection rate of 34.4%. (68)Ga-PSMA-11 uptake was observed in the prostate bed (3 patients, 2.5%), in the pelvic lymph nodes (21, 17.6%), in the retroperitoneal lymph nodes (4, 3.4%) and in the skeleton (21, 17.6%). Regarding ITT, 81 patients (68.1%) were considered possible candidates for S-RT only in the prostate bed and none of the patients (0%) for SBRT. According to the (68)Ga-PSMA-11 PET/CT results, the intended treatment was changed in 36 patients (30.2%). According to the PET/CT results, S-RT was recommended in 70 patients (58.8%), only to the prostate bed in 58 (48.7%) and SBRT in 29 (24.4%). The intended RT planning was modified in 36 (87.8%) of 41 patients with a positive (68)Ga-PSMA-11 PET/CT result. CONCLUSION: In our patient series with PSA levels <0.5 ng/ml, (68)Ga-PSMA-11 PET/CT had a detection rate of 34.4%. In the ITT analysis, 30.2% of patients had a change in the intended treatment. These data support the hypothesis that (68)Ga-PSMA-11 PET/CT is a useful procedure in the management of PCa patients showing early recurrence after RP, and should be implemented in routine clinical practice.",exclusion,Other study design,,,10.1007/s00259-018-4066-4,,,
random-journal.pdf,ProP2,"Pasqualetti, Francesco",2016,eng,pro.m:#5;pro.p:#5,[(18)F]Choline PET/CT and stereotactic body radiotherapy on treatment decision making of oligometastatic prostate cancer patients: preliminary results.,"BACKGROUND: A new entity of patients with recurrent prostate cancer limited to a small number of active metastatic lesions is having growing interest: the oligometastatic patients. Patients with oligometastatic disease could eventually be managed by treating all the active lesions with local therapy, i.e. either surgery or ablative stereotactic body radiotherapy. This study aims to assess the impact of [(18)F]Choline ([(18)F]FMCH) PET/CT and the use stereotactic body radiotherapy (SBRT) in patients (pts) with oligometastatic prostate cancer (PCa). METHODS: Twenty-nine pts with oligometastatic PCa (≤3 synchronous active lesions detected with [(18)F]FMCHPET/CT) were treated with repeated salvage SBRT until disease progression (development of > three active synchronous metastases). Primary endpoint was systemic therapy-free survival measured from the baseline [(18)F]FMCHPET/CT. RESULTS: A total of 45 lesions were treated with SBRT. After a median follow-up of 11.5 months (range 3-40 months), 20 pts were still in the study and did not receive any systemic therapy. Nine pts started systemic therapy, and the median time of the primary endpoint was 39.7 months (CI 12.20-62.14 months). No grade 3 or 4 toxicity was recorded. CONCLUSIONS: Repeated salvage [(18)F]FMCHPET/CT-guided SBRT is well tolerated and could defer the beginning of systemic therapy in selected patients with oligometastatic PCa.",exclusion,Other study design + no comparator,,PM1,10.1186/s13014-016-0586-x,,,
random-journal.pdf,ProP3,"Plasswilm, Ludwig",2019,ger,5 study;pro.m:#5;pro.p:#5,[Modern Treatment Concepts in Radiation Oncology].,"Modern Treatment Concepts in Radiation Oncology Abstract. Radiotherapy is a widely used form of therapy that is used in half of all cancer patients. Advances in understanding the fundamentals of tumor and radiation biology, in medical physics and computer science as well as technical developments have continuously improved the effectiveness and healing success of radiotherapy. Patients benefit from new treatment concepts such as hypofractionated radiotherapy for breast and prostate cancer, leading to a reduction in the duration of treatment by several weeks. Selected patients with early stages of breast cancer can be treated with partial breast irradiation with focus on the tumor bed after breast conserving surgery increasing tolerability and comfort. High dose stereotactic radiotherapy over five to six sessions of radiation or only one fraction (radiosurgery) have expanded treatment options for common tumor entities leading to long-lasting tumor control resulting in improved survival and quality of life for those affected. In early lung cancer stereotactic radiotherapy is an alternative to primary tumor surgery. For patients with oligometastatic tumor disease stereotactic radiotherapy allows a curative approach by effectively treating metastases. In patients with brain metastases whole-brain irradiation is replaced by stereotactic irradiation of the individual metastases with fewer side effects. Recently, promising results for improved tumor control with the combination of radiotherapy and immunotherapy have been presented. Radioimmunotherapy represents a new therapy combination. However, final assessment of its efficacy and side effects profile is still missing. In order to gain therapeutic certainty, further prospective study data are necessary.",exclusion,review,Llegir per a informació general sobre RT,PM2,10.1024/0040-5930/a001086,,,
random-journal.pdf,ProP4,"Le Fèvre, C",2018,fre,5 study;lung p #1;pro.m:#5;pro.p:#5,[Radiotherapy of bone metastases in France: A descriptive monocentric retrospective study].,"PURPOSE: Bone metastases cause pain and affect patients' quality of life. Radiation therapy is one of the reference analgesic treatments. The objective of this study was to compare the current practices of a French radiotherapy department for the treatment of uncomplicated bone metastases with data from the literature in order to improve and optimize the management of patients. MATERIAL AND METHODS: A retrospective monocentric study of patients who underwent palliative irradiation of uncomplicated bone metastases was performed. RESULTS: Ninety-one patients had 116 treatments of uncomplicated bone metastases between January 2014 and December 2015, including 44 men (48%) and 47 women (52%) with an average age of 63years (25-88years). Primary tumours most commonly found were breast cancer (35%), lung cancer (16%) and prostate cancer (12%). The regimens used were in 29% of cases 30Gy in ten fractions (group 30Gy), in 21% of cases 20Gy in five fractions (group 20Gy), in 22% of cases 8Gy in one fraction (group 8Gy) and in 28% of cases 23.31Gy in three fractions of stereotactic body irradiation (stereotactic group). The general condition of the patient (P<0.001), pain score and analgesic (P<0.001), oligometastatic profile (P=0.003) and practitioner experience (P<0.001) were factors influencing the choice of the regimen irradiation. Age (P=0.46), sex (P=0.14), anticancer treatments (P=0.56), concomitant hospitalization (P=0.14) and the distance between the radiotherapy centre and home (P=0.87) did not influence the decision significantly. A total of three cases of spinal compression and one case of post-therapeutic fracture were observed, occurring between one and 128days and 577days after irradiation, respectively. Eight percent of all irradiated metastases were reirradiated with a delay ranging between 13 and 434days after the first irradiation. The re-irradiation rate was significantly higher after 8Gy (P=0.02). The rate of death was significantly lower in the stereotactic arm (P<0.001) and overall survival was significantly greater in the stereotactic arm (P<0.001). CONCLUSION: This study showed that patients' analysed was comparable to the population of different studies. Predictive factors for the choice of the treatment regimen were identified. Non-fractionnated therapy was underutilised while stereotactic treatment was increasingly prescribed, showing an evolution in the management of patients.",exclusion,Not dealing with the intervention of interest (dealing with bone metastasis),,PM3,10.1016/j.canrad.2017.09.006,,,
random-journal.pdf,ProP5,"Lapierre, A",2019,fre,pro.p:#5,[Stereotactic ablative body radiotherapy: Which machine for which therapeutic indication? A focus on prostate cancer].,"For the last decade, stereotactic body radiotherapy has become a leading treatment for localized prostate cancer. It can be delivered using a wide array of radiotherapy machines. However, although numerous clinical studies, both prospective and retrospective, have been published, the different techniques have never been properly compared. This article aims at giving an overview of the published trials, and at pointing out the major differences between the machines, from a clinical (efficacy end toxicity), technical and radiobiological point of view.",exclusion,,Llegir review,,10.1016/j.canrad.2019.06.009,,,
random-journal.pdf,ProP6,"Gao, Qi-Neng",2019,chi,pro.p,[Stereotactic body radiation therapy versus conventional intensity-modulated radiation therapy for the treatment of prostate cancer].,"OBJECTIVE: To explore the efficacy and toxicity of stereotactic body radiation therapy (SBRT) versus conventional intensity-modulated radiation therapy (IMRT) in the treatment of prostate cancer. METHODS: Forty patients with localized prostate adenocarcinoma received SBRT for 5 doses totaling 36.25 Gy (n = 20) or IMRT for 42 doses totaling 75.6 Gy (n = 20). We compared the post-therapeutic PSA levels and related toxic reactions between the two groups of patients and recorded the rates of 5-year overall survival and freedom from biochemical failure (FFBF). RESULTS: The minimum level of PSA was 0.41 (0－1.25) μg/L at 2 years and 0.22 (0.1－1.4) μg/L at 3 years after radiotherapy in the SBRT group, significantly lower than 0.62 (0－2.4) μg/L and 0.47 (0－2.5) μg/L in the IMRT group (P < 0.05), while the time to the minimum PSA level was markedly shorter in the IMRT than in the SBRT group (27.9 ［1.0－40.8］ vs 33.6 ［2.7－41.6］ mo, P < 0.05). The change rate of the PSA level was remarkably higher in the SBRT than in the IMRT group at 2 and 3 years after treatment (－0.06 and －0.05 μg/L/mo vs －0.04 and －0.02 μg/L/mo, P < 0.05). No statistically significant difference was observed in the 5-year overall survival between the SBRT and IMRT groups (91.1% vs 86.7%, P = 0.158). CONCLUSIONS: SBRT and IMRT are comparable in therapeutic effect and toxicity, but the former has the advantages of low cost and convenient application and is therefore more suitable as an alternative treatment of localized prostate cancer.",inclusion,,,,,exclusion,language Chinese,
random-journal.pdf,ProP7,"Jorgo, Kliton",2019,hun,pro.p:#5,[Stereotactic body radiation therapy with CyberKnife accelerator for low- and intermediate risk prostate cancer].,"We report implementation of stereotactic body radiotherapy (SBRT) for the treatment of early, localized prostate cancer patients, and acute side effects caused by radiation therapy. Between February 2018 and July 2018, 36 prostate cancer patients were treated with SBRT. Treatments were performed with ""CyberKnife M6"" linear accelerator. In low-risk patients 8 Gy was delivered to the prostate in each fraction. For intermediate risk, 8 Gy to the prostate and 6.5 Gy to the seminal vesicles were delivered by each fraction with a simultaneous integrated boost technique. A total of 5 fractions (total dose 40 Gy) were given every second working days. Acute radiogenic genitourinary (GU) and gastrointestinal (GI) side effects were assessed using the Radiation Therapy Oncology Group (RTOG) score. The duration of radiotherapy was 1 week and 3 days. The frequency of acute radiogenic side effects was as follows: GU grade 0: 13.9%, grade I: 30.6%, grade II: 52.8%, grade III: 2.7%. GI grade 0: 55.5%, grade I: 30.6%, grade II: 13.9%, grade III: 0%. Grade IV-V side effects were not observed. SBRT appears to be a safe and well tolerated treatment in patients with early stage, localized prostate cancer.",exclusion,Other study design + no comparator,,,,,,
random-journal.pdf,ProP8,"Latorzeff, I",2019,fre,5 study;pro.m:#5;pro.p:#5,"[Treatment of primary disease (breast, non-small cell lung and prostate cancers) with irradiation in case of de novo metastatic cancer].","The basis of treatment of primary disease in case of metastatic cancer at diagnosis is based on the knowledge of the natural history of the disease, the biology of the primary tumour and its metastases, advances in modern radiotherapy techniques (modulated intensity, stereotactic radiotherapy) in order to improve the survival of patients with advanced disease. The clinical concept of oligometastatic disease at diagnosis has repositioned the interest of local treatment for primitive disease because these patients have a slower evolutionary profile than metastatic disease extended from the outset. This article reviews the indication of radiotherapy as a local treatment for primary cancer in a de novo metastatic diagnosed disease in the case of breast cancer, non-small cell lung cancer and prostate cancer.",exclusion,review,Llegir per informació de quan utilitzar RT en càncer de pròstata,PM5,10.1016/j.canrad.2019.08.004,,,
random-journal.pdf,ProP9,,2017,,5 study,2017 ASTRO Annual Meeting Late-Breaking Abstracts,,exclusion,abstracts,,,,,,
random-journal.pdf,ProP10,Anonymous.,2019,English,5 study;pro.m:#5;pro.p:#5,2019 Research Workshop: Treatment of Oligometastatic Disease - Closer to the Cure,"The proceedings contains 18 papers. The topics discussed include: Plasma Circulating Tumor HPV DNA for Early Detection of Cancer Recurrence in HPV-associated Oropharyngeal Cancer;A Validated Radiomics T Cell Score Predicts Response to Multi-site SBRT Combined with Pembrolizumab;Dosimetric Comparison of Biologically-Guided Radiotherapy and X-ray-Guided Stereotactic Ablative Radiotherapy for Oligometastatic Prostate Cancer;Multi-Site SBRT and Sequential Pembrolizumab: Treated Metastasis Control and Immune-Related Expression Predict Outcomes;Phase 1b study of stereotactic body radiation therapy in combination with systemic therapy in patients with extracranial oligometastatic renal cell carcinoma;Management of Oligometastatic Squamous Cell Carcinoma of the Head and Neck;Number of Metastatic Organ Sites and Survival by Molecular Profile in Lung Adenocarcinoma;Stereotactic Ablative Radiation Therapy for Oligometastatic Non-Small Cell Lung Cancer, Subset Analysis of a Prospective Phase II Clinical Trial;Increased Biologically Effective Dose (BED) To The Primary Tumor Improves Survival in Patients with Oligometastatic NSCLC: A Retrospective Dose Response Analysis;Radium 223 Dichloride in Combination with Androgen Deprivation Therapy and Stereotactic Body Radiation Therapy for Patients with Stage IV Oligometastatic Castration Sensitive Prostate Cancer: Clinical Trial in Progress;Platform Phase I Study Investigating the Safety of Multisite Stereotactic Body Radiotherapy with Immuno-Oncology Agents for the Treatment of Metastatic Advanced Solid Tumors;Radiotherapy In The Definitive Management Of Oligometastatic Prostate Cancer;Predictive factors and survival outcomes with stereotactic body radiation therapy in treatment of oligometastases in colorectal cancer;Long-term Disease Control and Survival Observed after Stereotactic Body Radiotherapy for Oligometastatic Breast Cancer;Molecular Profiling of Oligometastases and Artificial Intelligence-based Model for Predicting Treatment Outcome in Advance Prostate Cancer;Advance SBRT approaches for patients with oligometastases;Neoadjuvant Stereotactic Ablative and Hypofractionated Radiotherapy for Oligometastatic NSCLC",exclusion,proceedings,,PM10,,,,
